,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Marsala,40,IT,1570334092,78,37.8,12.44,71.6,14.99
1,Hobart,75,AU,1570333914,82,-42.88,147.33,62.01,13.87
2,Takefu,75,JP,1570334094,64,35.9,136.17,69.8,12.75
3,Abu Zabad,100,SD,1570334096,79,12.35,29.25,73.01,7.96
4,Vestmannaeyjar,66,IS,1570334097,86,63.44,-20.27,50.1,18.34
5,Saint-Augustin,75,CA,1570334099,93,45.63,-73.98,46.99,2.24
6,Upernavik,100,GL,1570334100,98,72.79,-56.15,32.71,18.3
7,Kaitangata,100,NZ,1570334101,65,-46.28,169.85,53.01,13.0
8,Christchurch,0,NZ,1570334102,58,-43.53,172.64,55.0,17.22
9,Mataura,100,NZ,1570334104,75,-46.19,168.86,53.01,10.0
10,Paka,89,CF,1570334105,98,4.15,15.03,66.69,2.24
11,Port Alfred,0,ZA,1570334106,88,-33.59,26.89,64.99,11.01
12,Vostok,0,RU,1570334108,42,46.45,135.83,50.71,9.17
13,Marrakesh,0,MA,1570334109,68,31.63,-7.99,68.0,3.36
14,Turan,74,RU,1570334110,86,52.15,93.92,42.09,2.98
15,Te Anau,100,NZ,1570334112,74,-45.41,167.72,49.61,5.17
16,Thompson,90,CA,1570334113,100,55.74,-97.86,41.0,2.24
17,Ushuaia,0,AR,1570333913,74,-54.81,-68.31,37.4,4.7
18,Fare,73,PF,1570334116,78,-16.7,-151.02,78.72,9.98
19,Victoria,75,BN,1570334117,66,5.28,115.24,91.4,5.82
20,Cocobeach,40,GA,1570334118,88,1.01,9.58,78.8,5.82
21,Dikson,1,RU,1570334120,72,73.51,80.55,23.06,15.01
22,Beringovskiy,0,RU,1570334121,43,63.05,179.32,31.79,14.2
23,Chapais,1,CA,1570334122,80,49.78,-74.86,39.2,8.05
24,Punta Arenas,75,CL,1570334123,81,-53.16,-70.91,42.8,6.93
25,Cape Town,40,ZA,1570334125,87,-33.93,18.42,57.99,6.93
26,San Patricio,100,PY,1570334126,94,-26.98,-56.83,60.12,6.87
27,Komsomolskiy,100,RU,1570334127,97,67.55,63.78,34.74,13.62
28,Hermanus,100,ZA,1570334129,83,-34.42,19.24,55.99,13.06
29,Rikitea,100,PF,1570334130,82,-23.12,-134.97,72.06,23.06
30,Hadejia,90,NG,1570334131,66,12.45,10.04,76.61,6.11
31,Margate,75,AU,1570334132,82,-43.03,147.26,62.01,13.87
32,Shelabolikha,0,RU,1570334134,54,53.41,82.62,53.6,2.24
33,Kavieng,0,PG,1570334135,68,-2.57,150.8,84.17,7.02
34,Barrow,31,AR,1570334136,88,-38.31,-60.23,39.62,5.66
35,Busselton,100,AU,1570334114,32,-33.64,115.35,66.0,1.95
36,Santa Rosa,40,AR,1570334139,28,-36.62,-64.29,50.94,8.12
37,Kamenka,0,MD,1570334140,92,48.03,28.7,32.0,2.8
38,Vila Velha,40,BR,1570334142,74,-3.71,-38.6,79.0,14.99
39,La Ronge,90,CA,1570334143,87,55.1,-105.3,46.4,11.41
40,Marathon,100,CA,1570334144,92,48.72,-86.38,48.15,18.52
41,Bluff,0,AU,1570334145,25,-23.58,149.07,86.73,2.57
42,Lianzhou,0,CN,1570334147,56,24.79,112.38,80.39,5.01
43,Ponta do Sol,58,BR,1570334148,64,-20.63,-46.0,70.67,11.03
44,Mehamn,100,NO,1570334150,82,71.03,27.85,40.56,20.18
